Months
month|year|served_fudge|consumed_fudge|table_size|PO_index|num_at_meeting|staff_at_breakfast|tickets_claimed
    1|2024|            |              |         8|        |              |                  |               
    2|2024|            |              |         8|        |              |                  |             99
    3|2024|            |              |         8|        |            21|                12|             70
    4|2024|            |              |         8|        |            12|                 9|             42
   10|2024|            |              |         8|        |              |                  |               
   11|2024|            |              |         8|        |             8|                11|             44
   12|2024|            |              |         8|        |             9|                11|             48
    1|2025|            |              |         8|        |            12|                13|             54
    2|2025|            |              |         8|        |            12|                10|             64
    3|2025|            |              |         8|        |             9|                10|             59
    4|2025|            |              |         8|        |             8|                11|             37
   10|2025|            |              |         8|        |             5|                  |               
   11|2025|        60.0|          80.0|         8|        |            14|                14|             61
   12|2025|        1.44|           0.9|         8|        |            13|                 8|             54
    1|2026|        1.35|           0.9|         8|        |            14|                12|             64
    2|2026|        1.35|           0.9|         8|        |            15|                13|             93
    3|2026|        1.35|           0.9|         8|        |            15|                13|             64
    4|2026|        1.25|           0.9|         8|        |             9|                 8|             36

Inv_checklist
item          |num_pkgs|num_units
Bacon         |     2.0|         
Coffee Creamer|        |    150.0
Eggs          |     2.5|         
Milk          |        |      0.0
OJ cups       |        |     40.0
Orange Juice  |     2.0|         
Pancake Mix   |     2.0|         
Paper Towels  |        |      2.0
Sausage       |     2.0|         
Serving Plates|        |    180.0

Orders
item|qty|supplier|supplier_id|purchased_pkgs|purchased_units|location|price

Items
item                |unit         |perishable|supplier|supplier_id|num_per_meal|num_per_table|num_per_serving
Aprons              |ea           |     False|Walmart |          1|            |             |               
Bacon               |slice        |      True|Sams    |          1|            |             |           1.36
Bowls               |ea           |     False|Sams    |          1|            |          3.0|            0.0
Butter              |chip         |     False|Gordon  |          1|            |         12.0|            1.0
Coffee Creamer      |ea           |     False|Sams    |          2|            |         10.0|            1.6
Coffee Stirrer 5"   |ea           |     False|Gordon  |          1|            |         10.0|            1.6
Coffee Stirrer 7"   |ea           |     False|Walmart |          1|            |             |               
Coffee cups, 10 oz  |ea           |     False|Sams    |          1|            |             |               
Coffee cups, 12 oz  |ea           |     False|Sams    |          1|            |             |               
Coffee cups, 8 oz   |ea           |     False|Sams    |          1|            |         10.0|            0.5
Coffee, ground      |cup of coffee|     False|Sams    |          1|        70.0|             |               
Cutlery Packets     |ea           |     False|Sams    |          1|            |         10.0|            1.0
Eggs                |ea           |      True|Sams    |          1|            |             |            2.2
Gloves              |pair         |     False|Walmart |          1|        10.0|             |               
Grill Cleaning Brick|ea           |     False|Amazon  |          1|         0.1|             |               
Ketchup             |oz           |     False|Walmart |          1|         4.0|             |               
Milk                |oz           |      True|Walmart |          1|        32.0|             |               
Nonstick Spray      |can          |     False|Sams    |          1|         1.0|             |           0.01
OJ cups             |ea           |     False|Sams    |          1|            |         10.0|            1.0
Orange Juice        |oz           |      True|Sams    |          1|            |             |            4.5
Pancake Mix         |3x4"         |     False|Sams    |          1|            |             |           1.67
Paper Towels        |roll         |     False|Walmart |          1|         1.0|             |               
Place Mats          |ea           |     False|Gordon  |          1|            |         10.0|            1.0
Raffle Tickets      |ea           |     False|Walmart |          1|            |             |            6.8
Rubber Bands        |ea           |     False|Walmart |          1|            |             |               
Sausage             |ea           |      True|Walmart |          1|            |             |           1.42
Scrubbers           |ea           |     False|Sams    |          1|         1.0|             |               
Serving Plates      |ea           |     False|Sams    |          1|            |             |            1.0
Small Plates        |ea           |     False|Sams    |          1|            |             |               
Splenda             |ea           |     False|Sams    |          1|            |          5.0|           0.33
Sugar               |ea           |     False|Sams    |          1|            |          5.0|           0.33
Sweet'N Low         |ea           |     False|Sams    |          1|            |          5.0|           0.33
Syrup bottle, SF    |bottle       |     False|Walmart |          1|            |          1.0|           0.06
Syrup bottle, reg   |bottle       |     False|Walmart |          1|            |          1.0|           0.07
Syrup, reg          |oz           |     False|Walmart |          1|            |             |           1.67
Syrup, sugar free   |oz           |     False|Walmart |          1|            |             |           1.67
Tea                 |bag          |     False|Sams    |          1|            |             |            0.1
To-Go Containers    |ea           |     False|Sams    |          1|            |             |           0.08

Products
item                |supplier|supplier_id|name                                                                                                                                                                                                 |item_num |location |price|pkg_size|pkg_weight|note                                                                       
Aprons              |Walmart |          1|AOWOO 2 Pack Kitchen Bib Apron, Adjustable Waterdrop Resistant Apron with 3 Pockets, Kitchen Cooking Chef Apron for Women Men, Unisex Black Apron for Kitchen Cooking Baking Crafting BBQ Drawing    |         |Online   | 9.99|       2|          |                                                                           
Bacon               |Aldis   |          1|Appleton Farms Fully Cooked Bacon                                                                                                                                                                    |         |         | 3.75|      12|       2.1|                                                                           
Bacon               |Gordon  |          1|Bacon, Laid-Out, Smoked, Medium Sliced, Precooked, Fresh, 100 Ct Package                                                                                                                             |314196   |         |19.99|     100|          |                                                                           
Bacon               |Sams    |          1|Smithfield Fully Cooked Bacon (10.5 oz., 72 ct.)                                                                                                                                                     |990285429|M2-16    |14.22|      72|      10.5|                                                                           
Bacon               |Walmart |          1|Oscar Mayer Fully Cooked Original Bacon Mega Pack, 6.3 Oz Box                                                                                                                                        |         |A28      |10.98|      24|       6.3|                                                                           
Bacon               |Walmart |          2|HORMEL BLACK LABEL Microwave Ready Bacon, Gluten Free, Refrigerated, 18 oz Plastic Package                                                                                                           |         |A28      |12.98|      24|      18.0|                                                                           
Bacon               |Walmart |          3|HORMEL BLACK LABEL Microwave Ready Pork Bacon, Gluten Free, 12 oz                                                                                                                                    |         |A28      | 8.97|      16|      12.0|                                                                           
Bacon               |Walmart |          4|Great Value Hickory Smoked Fully Cooked Thick Cut Bacon, 2.1 oz (only 3 stars)                                                                                                                       |         |A28      | 3.64|      10|       2.1|                                                                           
Bacon               |Walmart |          5|HORMEL BLACK LABEL Pork Bacon, Fully Cooked, 2.52 oz Plastic Package                                                                                                                                 |         |A28      | 4.48|      10|      2.52|                                                                           
Bacon               |Walmart |          6|Oscar Mayer Fully Cooked Original Bacon, 2.52 Oz Box                                                                                                                                                 |         |A28      | 4.48|      10|      2.52|                                                                           
Bowls               |Sams    |          1|Hefty Supreme Heavyweight Foam Bowls (12 oz., 300 ct.)                                                                                                                                               |309203   |         |13.28|     300|          |                                                                           
Butter              |Gordon  |          1|Butter Chips, Continental, Salted, Foil-Wrapped, Grade AA, 4.25 Lb Package                                                                                                                           |271991   |Cooler   |19.99|     200|          |                                                                           
Coffee Creamer      |Sams    |          1|Land O'Lakes Mini Moo's Half and Half (192 ct.)                                                                                                                                                      |342903   |23-7     |12.88|     192|          |discontinued                                                               
Coffee Creamer      |Sams    |          2|Nestle Coffee-mate Coffee Creamer Singles, Original 180 ct.                                                                                                                                          |990004691|F-9      |12.58|     180|          |                                                                           
Coffee Stirrer 5"   |Gordon  |          1|Stirrers, 5.5 Inch, Plastic, Black, 1000 Ct Package                                                                                                                                                  |485463   |Aisle 4  | 5.99|    1000|          |                                                                           
Coffee Stirrer 7"   |Walmart |          1|Comfy Package 7” Coffee Stir Sticks Coffee Straws Drink Stirrers, Black 1000-Pack                                                                                                                    |         |         | 7.99|    1000|          |                                                                           
Coffee cups, 10 oz  |Sams    |          1|Dixie to go Insulated Paper Cups, Choose Size (10 oz)                                                                                                                                                |980135024|         |59.98|     500|          |                                                                           
Coffee cups, 12 oz  |Sams    |          1|WinCup Foam Drink Cups, White (12 oz)                                                                                                                                                                |497482   |         |37.98|    1000|          |                                                                           
Coffee cups, 8 oz   |Sams    |          1|Dixie to go Insulated Paper Cups, Choose Size (8 oz)                                                                                                                                                 |980135020|         |52.48|     500|          |                                                                           
Coffee cups, 8 oz   |Walmart |          1|Great Value Disposable Foam Cups, 8 Ounce, 50 Count                                                                                                                                                  |         |Aisle A22| 1.72|      50|          |                                                                           
Coffee, ground      |Sams    |          1|Folgers Decaffeinated Classic Roast Coffee (28.8 oz.)                                                                                                                                                |990007890|G26-6    |20.58|     360|          |pkg_size was 192                                                           
Coffee, ground      |Sams    |          2|Maxwell House Original Roast Ground Coffee (48 oz.)                                                                                                                                                  |980186253|         |10.98|     600|          |pkg_size was 320                                                           
Cutlery Packets     |Sams    |          1|Member's Mark White Plastic Cutlery Packets (200 ct.)                                                                                                                                                |624381   |G21-9    |26.38|     200|          |                                                                           
Eggs                |Aldis   |          1|Goldhen Grade A Large Eggs                                                                                                                                                                           |         |         | 1.99|      12|          |                                                                           
Eggs                |Gordon  |          1|Eggs, Shell, Large Grade A, Refrigerated, 30 Ct                                                                                                                                                      |434288   |         | 6.99|      30|          |                                                                           
Eggs                |Gordon  |          2|Eggs, Shell, Large Grade A, Refrigerated, 30 Ct Package                                                                                                                                              |434288   |Cooler   | 6.99|      30|          |                                                                           
Eggs                |Gordon  |          3|Eggs, Shell, Large Grade A, Refrigerated, 30 Ct Tray, 6 Per Case (15 dz)                                                                                                                             |206539   |Cooler   |50.99|     180|          |                                                                           
Eggs                |Sams    |          1|Member's Mark Cage Free Grade A Eggs (2 dz)                                                                                                                                                          |990013040|M-9      | 4.64|      24|          |                                                                           
Eggs                |Sams    |          2|Large Eggs (15 dozen)                                                                                                                                                                                |849487   |         |31.48|     180|          |                                                                           
Eggs                |Walmart |          1|Eggland's Best Large White Eggs, 24 Count                                                                                                                                                            |         |         | 5.67|      24|          |                                                                           
Gloves              |Walmart |          1|Great Value Disposable Poly Food Gloves, 120-Count, Latex-Free, One Size Fits Most                                                                                                                   |         |Aisle A22| 1.48|     120|          |                                                                           
Gloves              |Walmart |          2|MED PRIDE Nitrile Vinyl Gloves – Non Latex Gloves, Powder-Free, Rubber-Free Disposable Medical Gloves for Cleaning, Cooking & Exams, Large, 100-Pack                                                 |         |Online   | 9.99|      50|          |                                                                           
Gloves              |Walmart |          3|MED PRIDE Nitrile Vinyl Gloves – Non Latex Gloves, Powder-Free, Rubber-Free Disposable Medical Gloves for Cleaning, Cooking & Exams, X-Large, 100-Pack                                               |         |Online   | 9.99|      50|          |                                                                           
Grill Cleaning Brick|Amazon  |          1|Commercial Grade, Heavy Duty Grill Cleaning Brick Bulk 4 Pack. Pumice Stone Cleaner Tool Cleans and Sanitizes Restaurant Flat Top Grills or Griddles Effectively Without Harsh Chemicals or Abrasives|         |         |24.99|       4|          |https://www.amazon.com/dp/B078TMMQPH?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Ketchup             |Walmart |          1|Great Value Tomato Ketchup, 14 oz                                                                                                                                                                    |         |A-11     | 0.98|      14|          |                                                                           
Milk                |Walmart |          1|Great Value Lactose Free Whole Vitamin D Milk, Half Gallon, 64 fl oz                                                                                                                                 |         |Aisle A38| 3.16|      64|          |                                                                           
Nonstick Spray      |Sams    |          1|PAM Original Cooking Spray (12 oz., 2 pk.)                                                                                                                                                           |338064   |         | 7.48|       2|          |                                                                           
OJ cups             |Sams    |          1|Member's Mark Printed Paper Bath Cold Cup (5 oz., 450 ct.)                                                                                                                                           |980259465|G20-4    |13.48|     450|          |                                                                           
Orange Juice        |Aldis   |          1|Nature's Nectar Premium Orange Juice Not From Concentrate No Pulp                                                                                                                                    |         |         | 3.65|      52|          |                                                                           
Orange Juice        |Gordon  |          1|Juice, Orange, No Pulp, Refrigerated, 1 Gal                                                                                                                                                          |216837   |         | 8.79|     128|          |                                                                           
Orange Juice        |Sams    |          1|Member's Mark 100% Orange Juice, Pulp Free (2 pk.)                                                                                                                                                   |980197188|M-2-2    | 6.44|     104|          |                                                                           
Orange Juice        |Walmart |          1|Tropicana Pure Premium 100% Orange Juice Lots of Pulp, 1 Gallon Jug                                                                                                                                  |         |         | 8.28|     128|          |                                                                           
Orange Juice        |Walmart |          2|Tropicana Pure Premium 100% Orange Juice Original No Pulp 128 Fl Oz Jug                                                                                                                              |         |         | 8.28|     128|          |                                                                           
Pancake Mix         |Aldis   |          1|Millville Buttermilk Pancake Mix                                                                                                                                                                     |         |         | 2.15|      15|          |                                                                           
Pancake Mix         |Gordon  |          1|Mix, Pancake, Buttermilk, 5 Lb Box                                                                                                                                                                   |757762   |         | 8.49|      20|          |                                                                           
Pancake Mix         |Sams    |          1|Member's Mark Buttermilk Pancake Mix (10 lbs.)                                                                                                                                                       |642969   |G37-7    | 7.74|      77|          |                                                                           
Pancake Mix         |Sams    |          2|Pearl Milling Company Original Complete Pancake Mix (10 lb., 2-5 lb pk.)                                                                                                                             |990324123|         |10.98|      65|          |                                                                           
Pancake Mix         |Walmart |          1|Great Value Complete Pancake & Waffle Mix, Extra Fluffy, Original, 5 lbs                                                                                                                             |         |         | 4.98|      40|          |                                                                           
Paper Towels        |Walmart |          1|Great Value Ultra Strong Paper Towels, White, 6 Double Rolls                                                                                                                                         |         |Aisle A23|10.22|       6|          |                                                                           
Place Mats          |Gordon  |          1|Placemats, 9.75 x 14 Inch, Paper, Embossed Floral Design, 1000 Per Case                                                                                                                              |271217   |Aisle 4  |35.49|    1000|          |                                                                           
Raffle Tickets      |Gordon  |          1|Tickets, Raffle, Deluxe, Orange, 2000 Ct Roll                                                                                                                                                        |221007   |Aisle 3  |14.99|    2000|          |                                                                           
Raffle Tickets      |Walmart |          1|Pen+Gear Double Ticket Roll, Red, Consecutively Numbered, 2000 Count                                                                                                                                 |         |J23      |11.44|    2000|          |                                                                           
Rubber Bands        |Walmart |          1|Alliance Advantage Rubber Bands, Size #32 (3" x 1/8"), Approx. 350 Bands per 8 oz Bag, Natural                                                                                                       |         |J23      | 3.68|     350|          |                                                                           
Sausage             |Sams    |          1|Jimmy Dean Fully Cooked Original Pork Sausage Links, 48 ct.                                                                                                                                          |990420247|M-3      | 9.98|      48|          |                                                                           
Sausage             |Walmart |          1|Banq Brown'N Serve Orig Fully Cooked Saus Links, Froz Brkfast, 32 oz., 50-Ct                                                                                                                         |         |A3       | 6.98|      50|          |                                                                           
Sausage             |Walmart |          2|Banquet Brown 'N Serve Vermont Maple Sausage Links, Frozen Breakfast, 32 oz.                                                                                                                         |         |A3       | 6.98|      50|          |                                                                           
Sausage             |Walmart |          3|Jimmy Dean Heat 'N Serve Original Pork Breakfast Sausage Links, 36 Count (Frozen)                                                                                                                    |         |A3       | 6.72|      36|          |                                                                           
Scrubbers           |Sams    |          1|Scotch-Brite 2X Larger Stainless Steel Scrubbers Club Pack (16 pk.)                                                                                                                                  |743038   |         |10.98|      16|          |                                                                           
Scrubbers           |Sams    |          2|Scotch-Brite Heavy Duty Scrub Sponges, Individually Wrapped (24 ct.)                                                                                                                                 |990332127|         |14.97|      24|          |                                                                           
Serving Plates      |Sams    |          1|Hefty Supreme 3-Compartment Foam Plates, 10 1/4" (200 ct.)                                                                                                                                           |161695   |         |19.98|     200|          |                                                                           
Small Plates        |Sams    |          1|Member's Mark Ultra Dessert/Snack Paper Plates (6.875", 330 ct.)                                                                                                                                     |980076972|         |17.78|     330|          |                                                                           
Splenda             |Sams    |          1|Splenda Zero Calorie Sweetener Packets (1,000 ct.)                                                                                                                                                   |990057973|         |18.98|    1000|          |                                                                           
Sugar               |Sams    |          1|Member's Mark Premium Cane Sugar (2,000 ct.)                                                                                                                                                         |980059085|         |12.98|    2000|          |                                                                           
Sweet'N Low         |Sams    |          1|Sweet'N Low Zero-Calorie Sweetener Packets (1,500 ct.)                                                                                                                                               |6052     |         |14.58|    1500|          |                                                                           
Syrup bottle, SF    |Aldis   |          1|Millville Lite Pancake Syrup                                                                                                                                                                         |         |         | 2.59|       1|          |                                                                           
Syrup bottle, SF    |Walmart |          1|Great Value Sugar Free Syrup, 24 fl oz                                                                                                                                                               |         |A17      | 2.36|       1|          |                                                                           
Syrup bottle, reg   |Aldis   |          1|Millville Original Pancake Syrup                                                                                                                                                                     |         |         | 2.59|       1|          |                                                                           
Syrup bottle, reg   |Sams    |          1|Pearl Milling Company Original Syrup (64 oz.)                                                                                                                                                        |990000183|         | 6.79|       1|          |                                                                           
Syrup bottle, reg   |Walmart |          1|Great Value Original Syrup, 24 oz                                                                                                                                                                    |         |Aisle A16| 2.36|       1|          |                                                                           
Syrup bottle, reg   |Walmart |          2|Great Value Original Syrup, Family Size, 36 fl oz                                                                                                                                                    |         |         | 3.12|       1|          |                                                                           
Syrup bottle, reg   |Walmart |          3|Log Cabin Original Pancake Syrup, 64 fl oz                                                                                                                                                           |         |Aisle A16| 6.98|       1|          |                                                                           
Syrup, reg          |Aldis   |          1|Millville Original Pancake Syrup                                                                                                                                                                     |         |         | 2.59|      24|          |                                                                           
Syrup, reg          |Sams    |          1|Pearl Milling Company Original Syrup (64 oz.)                                                                                                                                                        |990000183|         | 6.79|      64|          |                                                                           
Syrup, reg          |Walmart |          1|Great Value Original Syrup, 24 oz                                                                                                                                                                    |         |Aisle A16| 2.36|      24|          |                                                                           
Syrup, reg          |Walmart |          2|Great Value Original Syrup, Family Size, 36 fl oz                                                                                                                                                    |         |         | 3.12|      36|          |                                                                           
Syrup, reg          |Walmart |          3|Log Cabin Original Pancake Syrup, 64 fl oz                                                                                                                                                           |         |Aisle A16| 6.98|      64|          |                                                                           
Syrup, sugar free   |Aldis   |          1|Millville Lite Pancake Syrup                                                                                                                                                                         |         |         | 2.59|      24|          |                                                                           
Syrup, sugar free   |Walmart |          1|Great Value Sugar Free Syrup, 24 fl oz                                                                                                                                                               |         |A17      | 2.36|      24|          |                                                                           
Tea                 |Sams    |          1|Lipton Tea Bags, Black Tea, 312 ct.                                                                                                                                                                  |909541   |         |12.22|     312|          |                                                                           
Tea                 |Walmart |          1|Great Value Black Tea Bags, 8 oz, 100 Count                                                                                                                                                          |         |A8       | 2.12|     100|          |                                                                           
To-Go Containers    |Sams    |          1|Hefty Supreme Foam Hinged Lid Container, 3-Compartment (125 ct.)                                                                                                                                     |971233   |G19-7    |16.98|     125|          |                                                                           

Inventory
date      |code     |item                |num_pkgs|num_units|uncertainty
Nov 18, 25|estimate |Bacon               |     0.0|      144|         14
Nov 18, 25|estimate |Bowls               |     0.0|      325|         33
Nov 18, 25|estimate |Butter              |     0.0|        6|          1
Nov 18, 25|estimate |Coffee Creamer      |     0.0|      170|         17
Nov 18, 25|estimate |Coffee Stirrer 5"   |     0.0|      495|         50
Nov 18, 25|estimate |Coffee cups, 8 oz   |     0.0|        0|          0
Nov 18, 25|estimate |Coffee, ground      |     0.0|       77|          8
Nov 18, 25|estimate |Cutlery Packets     |     0.0|        0|          0
Nov 18, 25|estimate |Eggs                |     0.0|        0|          0
Nov 18, 25|estimate |Gloves              |     0.0|     1463|        146
Nov 18, 25|estimate |Milk                |     0.0|        0|          0
Nov 18, 25|estimate |Nonstick Spray      |     0.0|       10|          1
Nov 18, 25|estimate |OJ cups             |     0.0|      350|         35
Nov 18, 25|estimate |Orange Juice        |     0.0|       11|          1
Nov 18, 25|estimate |Pancake Mix         |     0.0|       80|          8
Nov 18, 25|estimate |Paper Towels        |     0.0|        3|          0
Nov 18, 25|estimate |Place Mats          |     0.0|      428|         43
Nov 18, 25|estimate |Raffle Tickets      |     0.0|     1966|        197
Nov 18, 25|estimate |Scrubbers           |     0.0|        5|          1
Nov 18, 25|estimate |Serving Plates      |     0.0|       80|          8
Nov 18, 25|estimate |Splenda             |     0.0|     1600|        160
Nov 18, 25|estimate |Sugar               |     0.0|      100|         10
Nov 18, 25|estimate |Sweet'N Low         |     0.0|     1650|        165
Nov 18, 25|estimate |Syrup, reg          |     0.0|      237|         24
Nov 18, 25|estimate |Syrup, sugar free   |     0.0|      237|         24
